"Upazilla","Districts"
"Batiaghata","Khulna"
"Dakop","Khulna"
"Dighalia","Khulna"
"Doulatpur","Khulna"
"Dumuria","Khulna"
"Fultola","Khulna"
"Khalishpur","Khulna"
"Khanjahan Ali","Khulna"
"Koyra","Khulna"
"Paikgasa","Khulna"
"Rupsha","Khulna"
"Sadar","Khulna"
"Sonadanga","Khulna"
"Terokhada","Khulna"
"ASHTOGRAM","Kishoreganj"
"Bajidpur","Kishoreganj"
"BHAIRAB BAZAR","Kishoreganj"
"ETNA","Kishoreganj"
"HOSAINPUR","Kishoreganj"
"KARIMGANJ","Kishoreganj"
"KATIADI","Kishoreganj"
"KULIAR CHAR","Kishoreganj"
"MITAMAIN","Kishoreganj"
"NIKLI","Kishoreganj"
"PAKUNDIA","Kishoreganj"
"SADAR","Kishoreganj"
"TARAIL","Kishoreganj"
"BHURUNGAMARY","Kurigram"
"CHAR RAJIBPUR","Kurigram"
"CHILMARY","Kurigram"
"DAUSMARA","Kurigram"
"FULBARI","Kurigram"
"NAGERSHAWRY","Kurigram"
"Rajibpur","Kurigram"
"RAZAR HAT","Kurigram"
"ROUMARY","Kurigram"
"SADAR","Kurigram"
"ULIPUR","Kurigram"
"BHARAMARA","Kushtia"
"DOULATPUR","Kushtia"
"KHOKSHA","Kushtia"
"KUMARKHALI","Kushtia"
"MIRPUR","Kushtia"
"SADAR","Kushtia"
"ADITMARY","Lalmonirhat"
"HATIBANDA","Lalmonirhat"
"KALIGANJ","Lalmonirhat"
"PATGRAM","Lalmonirhat"
"SADAR","Lalmonirhat"
"RAIPUR","Laxmipur"
"RAMGANJ","Laxmipur"
"RAMGOTI","Laxmipur"
"SADAR","Laxmipur"
"KALKINI","Madaripur"
"RAJOIR","Madaripur"
"SADAR","Madaripur"
"SHIBCHAR","Madaripur"
"MOHAMMADPUR","Magura"
"Sador","Magura"
"SHALIKHA","Magura"
"SREEPUR","Magura"
"DOULATPUR","Manikganj"
"GHIOR","Manikganj"
"HORIRAMPUR","Manikganj"
"SADAR","Manikganj"
"SATURIA","Manikganj"
"SHIBALOY","Manikganj"
"Singair","Manikganj"
"GANGNI","Meherpur"
"MOJIB NAGAR","Meherpur"
"SADAR","Meherpur"
"BAROLEKHA","Moulavibazar"
"KOMOLMGANJ","Moulavibazar"
"KULAURA","Moulavibazar"
"RAZNAGAR","Moulavibazar"
"SADAR","Moulavibazar"
"SREEMANGOL","Moulavibazar"
"GAZARIA","Munshiganj"
"LOWHAJANG","Munshiganj"
"SADAR","Munshiganj"
"SIRAJDIKHAN","Munshiganj"
"SREENAGAR","Munshiganj"
"TONGIBARI","Munshiganj"
"BHALUKA","Mymensingh"
"DHOBAURA","Mymensingh"
"FULBARIA","Mymensingh"
"FULPUR","Mymensingh"
"Gaforgaon","Mymensingh"
"GOURIPUR","Mymensingh"
"HALUAGHAT","Mymensingh"
"Ishworganj","Mymensingh"
"Kotwali","Mymensingh"
"Muktagasa","Mymensingh"
"NANDAIL","Mymensingh"
"Sador","Mymensingh"
"Trishal","Mymensingh"
"ATRAI","Naogaon"
"BADOLGASHHI","Naogaon"
"DAMUIRHAT","Naogaon"
"MANDA","Naogaon"
"MOHADEBPUR","Naogaon"
"Naogaon","Naogaon"
"NIAMOTPUR","Naogaon"
"PATNITOLA","Naogaon"
"PORSHA","Naogaon"
"RANINAGAR","Naogaon"
"SHAPAHAR","Naogaon"
"ARAIHAZAR","Narayanganj"
"BONDAR","Narayanganj"
"FATULLAH","Narayanganj"
"RUPGANJ","Narayanganj"
"SADAR","Narayanganj"
"SIDDIRGANJ","Narayanganj"
"SONARGAON","Narayanganj"
"BELAB","Narsingdi"
"MONAHARDI","Narsingdi"
"POLASH","Narsingdi"
"RAIPURA","Narsingdi"
"SADAR","Narsingdi"
"SHIBPUR","Narsingdi"
" SADAR","Natore"
"BAGATIPARA","Natore"
"BAGHA","Natore"
"BORAIGRAM","Natore"
"GURUDASPUR","Natore"
"LALPUR","Natore"
"LOKHHAN HATI","Natore"
"NOLDANGA","Natore"
"SINGRA","Natore"
"ATPARA","Netrokona"
"BARHATTA","Netrokona"
"DHOBAURA","Netrokona"
"Durgapur","Netrokona"
"KENDUA","Netrokona"
"KHALIAZURI","Netrokona"
"KOLMAKANDA","Netrokona"
"MODAN","Netrokona"
"MOHONGANJ","Netrokona"
"PURBADHALA","Netrokona"
"SADAR","Netrokona"
" SADAR","Nilphamari"
"DIMLA","Nilphamari"
"DOMAR","Nilphamari"
"JALDHAKA","Nilphamari"
"KISHORGANJ","Nilphamari"
"SAYEDPUR","Nilphamari"
"Begumganj","Noakhali"
"CHAR JABBAR","Noakhali"
"CHATKHIL","Noakhali"
"COMPANYGANJ","Noakhali"
"HATIA","Noakhali"
"Sadar","Noakhali"
"SENBAG","Noakhali"
"SONAIMURI","Noakhali"
"SUDHARAM","Noakhali"
"KALIA","Norail"
"LOHAGORA","Norail"
"NORAGATI","Norail"
"NORAIL","Norail"
"ATAIKHULA","Pabna"
"ATGHORIA","Pabna"
"BERA","Pabna"
"BHANGURA","Pabna"
"Chatmohar","Pabna"
"Faridpur","Pabna"
"ISWARDI","Pabna"
"Sadar","Pabna"
"SATHIA","Pabna"
"Sujanagar","Pabna"
"ATWARI","Panchagarh"
"BHODA","Panchagarh"
"DEBIGANJ","Panchagarh"
"SADAR","Panchagarh"
"TETULIA","Panchagarh"
"BAUFAL","Patuakhali"
"DASHMINA","Patuakhali"
"DUMKI","Patuakhali"
"GOLACHIPA","Patuakhali"
"KALAPARA","Patuakhali"
"Khepupara","Patuakhali"
"MIRZAGANJ","Patuakhali"
"PATUAKHALI","Patuakhali"
"BHANDARIA","Pirojpur"
"ENDURKADI","Pirojpur"
"KAUKHALI","Pirojpur"
"MATHBARIA","Pirojpur"
"NAZIRPUR","Pirojpur"
"Nesarabad","Pirojpur"
"PIROZPUR","Pirojpur"
"SARUPKATHI","Pirojpur"
"BALIAKANDI","Rajbari"
"GOALANDA","Rajbari"
"PANGSHA","Rajbari"
"SADAR","Rajbari"
"BAGHA","Rajshahi"
"BAGHMARA","Rajshahi"
"Boalia","Rajshahi"
"CHARGHAT","Rajshahi"
"DURGAPUR","Rajshahi"
"Godagari","Rajshahi"
"MATIHER","Rajshahi"
"MOHONPUR","Rajshahi"
"POBA","Rajshahi"
"PUTIA","Rajshahi"
"RAIPURA","Rajshahi"
"RAJPARA","Rajshahi"
"Sador","Rajshahi"
"SHAH MOKHDUM","Rajshahi"
"TANOR","Rajshahi"
"BAGHAISHHORI","Rangamati"
"BARKAL","Rangamati"
"BEBUNIA","Rangamati"
"BILAISHHORI","Rangamati"
"CHANDRAGHONA","Rangamati"
"FAROA","Rangamati"
"KAPTAI","Rangamati"
"KAUKHALI","Rangamati"
"LONGUDU","Rangamati"
"NUMERCHAR","Rangamati"
"RAJSTHAL","Rangamati"
"RANGAMATI","Rangamati"
"SAZAK","Rangamati"
"ZURAISHHORI","Rangamati"
"Bodarganj","Rangpur"
"GONGACHARA","Rangpur"
"KAUNIA","Rangpur"
"MITHAPUKUR","Rangpur"
"Pirgachha","Rangpur"
"SADAR","Rangpur"
"TARAGANJ","Rangpur"
"Ashashuni","Satkhira"
"Debhata","Satkhira"
"Kkaliganj","Satkhira"
"kolarawa","Satkhira"
"Satkhira","Satkhira"
"Shyamnagar","Satkhira"
"Tala","Satkhira"
"BHEDERGANJ","Shariyatpur"
"DAMUDA","Shariyatpur"
"GOSHAIRHAT","Shariyatpur"
"Noria","Shariyatpur"
"PALONG","Shariyatpur"
"SHARYATPUR","Shariyatpur"
"Sokhipur","Shariyatpur"
"ZAJIRA","Shariyatpur"
"JHINAIGATI","Sherpur"
"NAKLA","Sherpur"
"NALITABARI","Sherpur"
"SADAR","Sherpur"
"SREEBARDI","Sherpur"
"Belkuchi","Sirajganj"
"CHOUHALI","Sirajganj"
"Enayetpur","Sirajganj"
"KAMARKHAND","Sirajganj"
"KAZIPUR","Sirajganj"
"RAIGANJ","Sirajganj"
"Sadar","Sirajganj"
"Shahjadpur","Sirajganj"
"SOLANGA","Sirajganj"
"TARASH","Sirajganj"
"Ullahpara","Sirajganj"
"BISHAMBHARPUR","Sunamganj"
"CHATOK","Sunamganj"
"DHARMPASHA","Sunamganj"
"DIRAI","Sunamganj"
"DOAR BAZAR","Sunamganj"
"JAGONNATHPUR","Sunamganj"
"JAMALGANJ","Sunamganj"
"MADHANAGAR","Sunamganj"
"SADAR","Sunamganj"
"SULLA","Sunamganj"
"TAHERPUR","Sunamganj"
"Balaganj","Sylhet"
"BIANIBAZAR","Sylhet"
"BISHOWNATH","Sylhet"
"COMPANYGANJ","Sylhet"
"FENCHUGANJ","Sylhet"
"GOAINGHAT","Sylhet"
"GOLAPGANJ","Sylhet"
"JOKYKGANJ","Sylhet"
"JOYANTAPUR","Sylhet"
"KANAIGHAT","Sylhet"
"OSMANI NAGAR","Sylhet"
"SADAR","Sylhet"
"South Surma","Sylhet"
"BASHAIL","Tangail"
"Bhuapur","Tangail"
"DELDUAR","Tangail"
"DHANBARI","Tangail"
"Ghatail","Tangail"
"GOPALPUR","Tangail"
"KALIHATI","Tangail"
"MADHUPUR","Tangail"
"MIRZAPUR","Tangail"
"NAGORPUR","Tangail"
"Sadar","Tangail"
"SAKHIPUR","Tangail"
"BALIADANGI","Thakurgaon"
"HORIPUR","Thakurgaon"
"PIRGANJ","Thakurgaon"
"RANI SONGKAIL","Thakurgaon"
"RUHIA","Thakurgaon"
"SADAR","Thakurgaon"
